policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
tm_tw,20261567,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,2653.45171979424,265345.171979424,1012170.1446811206,26.21547112150988,746824.9727016967,0.2,0.42,0.2993182251405873,0.0154629789864477,1.0758895829999915,tm_tw_dense,context_noise_refinement
tm_tw,20261568,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5323.707905097526,532370.7905097526,811396.630077565,65.61165905493851,279025.8395678124,0.48,0.63,0.3056001665488899,0.01575991741504885,0.9703519170000163,tm_tw_dense,context_noise_refinement
tm_tw,20261569,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5159.675771901882,515967.5771901883,942386.1972053375,54.75118149229043,426418.6200151492,0.29,0.49,0.3094369770228967,0.015963208323503997,0.9748382919999585,tm_tw_dense,context_noise_refinement
tm_tw,20261570,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5410.967041232739,541096.7041232738,999659.5570975288,54.128097939095014,458562.852974255,0.33,0.56,0.3039652966625523,0.015698833955151516,0.9711903329999814,tm_tw_dense,context_noise_refinement
tm_tw,20261571,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5644.571115446142,564457.1115446142,992907.6923006688,56.84890105309883,428450.5807560546,0.41,0.64,0.30656199393218375,0.01578589878816457,0.9726411669998924,tm_tw_dense,context_noise_refinement
tm_tw,20261572,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5459.436426840963,545943.6426840962,1116774.9717435744,48.88573405542364,570831.3290594781,0.3,0.54,0.3034575303153868,0.015583091993952872,0.9699430829999756,tm_tw_dense,context_noise_refinement
tm_tw,20261573,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5845.249648709672,584524.9648709672,825738.7816046793,70.78812063726072,241213.8167337121,0.46,0.67,0.31455764108022016,0.01621498149451398,0.9826291660000379,tm_tw_dense,context_noise_refinement
tm_tw,20261574,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4328.226137100932,432822.6137100932,1089534.6172407377,39.725457719390576,656712.0035306445,0.22,0.46,0.30939594097634154,0.015898078289946264,0.9786155829999643,tm_tw_dense,context_noise_refinement
tm_tw,20262389,100,50,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6168.960099338991,616896.0099338992,1007912.585291244,61.20530876749023,391016.5753573448,0.47,0.61,0.2385796329239313,0.0123221628028184,1.005906374999995,tm_tw_gated_offline,context_noise_refinement
tm_tw,20262390,100,50,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6630.214400849302,663021.4400849303,1048956.3284282424,63.20772582385794,385934.8883433121,0.37,0.58,0.2395998097594094,0.0123709258702428,0.9642291250000028,tm_tw_gated_offline,context_noise_refinement
tm_tw,20262391,100,50,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4959.539251019651,495953.925101965,968485.9679915686,51.20920090669632,472532.0428896036,0.4,0.66,0.2414214875919788,0.0124846514366383,0.9669277079999858,tm_tw_gated_offline,context_noise_refinement
tm_tw,20262392,100,50,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,5772.131395270879,577213.1395270879,813845.7335754681,70.92414639703493,236632.59404838015,0.43,0.66,0.239087802887695,0.01238801896342624,0.9372708750000811,tm_tw_gated_offline,context_noise_refinement
tm_tw,20262393,100,50,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4695.84601009401,469584.601009401,997640.5176653675,47.06951980141117,528055.9166559664,0.31,0.55,0.23908837406917346,0.012413316110559845,0.9385214590000714,tm_tw_gated_offline,context_noise_refinement
tm_tw,20262394,100,50,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,7872.026772169147,787202.6772169147,1051095.947334101,74.89351273910819,263893.27011718624,0.58,0.73,0.24025103547331977,0.01238966884164737,0.9387175000000525,tm_tw_gated_offline,context_noise_refinement
