S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
20,0.2,1.0,1.0,deterministic,0.1,state_thompson,10,55.366118337391185,0.2672317438783211,0.03462698461785476,0.314,0.5509999999999999,429466.0623819238
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_dense,10,57.55434606142368,0.26494652999851304,0.03352050420652413,0.378,0.583,379986.3064812716
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,62.34652252805341,0.19206128615296056,0.025424781414413327,0.43899999999999995,0.6519999999999999,354053.37354449916
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_gated_offline_low_rank,10,60.64531177371705,0.19047271338557803,0.02516816971903172,0.402,0.618,386496.186984142
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,72.47001898583599,0.2710084033638969,0.03525017736265949,0.4640000000000001,0.693,249530.63798136674
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,76.79236662280641,0.18969179311428852,0.02530135143692532,0.47000000000000003,0.715,207655.8756146365
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline_low_rank,10,76.27370052607975,0.18806529220681026,0.02520083691145784,0.48600000000000004,0.689,228344.61217015787
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,10,77.47342503145424,0.09981457980283712,0.00731583971789178,0.489,0.716,216164.0288603174
20,0.2,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,50.18447532890307,0.1029705045319497,0.0077142711938619195,0.30100000000000005,0.5309999999999999,449942.1300234207
20,0.2,1.0,1.0,deterministic,0.1,tw_dense,10,52.31907532886883,0.2686143179385619,0.03398661314909526,0.311,0.5269999999999999,429703.0145482607
20,0.2,1.0,1.0,deterministic,0.1,tw_gated_offline,10,51.380750488422656,0.19088017394655482,0.02529024241756298,0.33799999999999997,0.589,482459.6766352506
20,0.2,1.0,1.0,deterministic,0.1,tw_gated_offline_low_rank,10,57.01021838958835,0.18937839235423448,0.02511246474519583,0.363,0.5940000000000001,399511.9464695187
20,0.2,1.0,1.0,deterministic,0.1,tw_support_offline,10,61.42565217437931,0.10096439039596057,0.00710290686193165,0.396,0.608,336153.83749136067
